學年度,學期,課程大類,標籤描述,課程名稱,科系,學院,學分,教師姓名,星期,起始節次,地點,飽和度,中籤率,全英,Cluster,教學大綱連結
111,1,語文,一般課程,基礎華語情境溝通(一),語文課程,語文中心,3.0,黃柔溱,3,5,LC202,0.0,1.0,0,2,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML005_0CCML0104330.pdf
111,1,語文,一般課程,基礎實用生活華語(一),語文課程,語文中心,3.0,黃柔溱,3,2,LC202,0.0,1.0,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML004_0CCML0104130.pdf
111,1,語文,一般課程,中級華語語法(一),語文課程,語文中心,3.0,黃柔溱,5,5,LC202,0.0,1.0,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML003_0CCML0108330.pdf
111,1,語文,一般課程,初級旅遊華語(一),語文課程,語文中心,3.0,劉培伃,3,2,LC201,0.0,1.0,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML002_0CCML0104930.pdf
111,1,語文,一般課程,基礎華語口語與表達(一),語文課程,語文中心,3.0,周芷瑄,1,2,LC201,0.0,1.0,0,0,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/ML001_0CCML0103930.pdf
111,1,系所,🎓 專題/論文,初級韓語,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,透過電影學英文,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,韓國大眾媒體與流行文化,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,中級韓語 1,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,實用韓語 2,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,實用韓語 1,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,法文文法課,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,語言與文化,外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,法文寫作,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,法文口語表達,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,韓國史,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,終生身體活動 1,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,"德文,初級程度 1(CRFR A1.2)",外校大學課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,財務會計,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,今日德國－生活和文化,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,德語作為外語(進階初學者),外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,德語中級密集課程－秋學期,外校大學課程,日間部,9.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,英語口說C1等級,外校大學課程,日間部,1.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,學術探究、寫作與報告,外校大學課程,日間部,1.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,當代德國,外校大學課程,日間部,1.5,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,德語密集課程,外校大學課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,教授青少年學生,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,語言診斷與評估,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,TEFL方法,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,理論探索,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,教學方法,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,發音技巧教學,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,英語教學職涯,外校碩士課程,日間部,1.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,TEFL實作,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,兒童教學,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,語言診斷和測驗,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,TEFL教學方法,外校碩士課程,日間部,2.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,全球團隊領導,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
111,1,系所,🎓 專題/論文,多重專案實作,外校碩士課程,日間部,3.0,校際教師,0,0,,0.0,1.0,0,1,
