項目,熱門比例,分析類型
通識教育中心,0.6382536382536382,學院熱門度
語文中心,0.5424528301886793,學院熱門度
軍訓室,0.53125,學院熱門度
教育學院,0.08814455707360071,學院熱門度
工學院,0.07087552114353782,學院熱門度
管理學院,0.04450261780104712,學院熱門度
文學院,0.041666666666666664,學院熱門度
理學院,0.024599329109206113,學院熱門度
進修推廣部,0.023255813953488372,學院熱門度
科技學院,0.007082152974504249,學院熱門度
社會科學暨體育學院,0.004106776180698152,學院熱門度
性別平等教育委員會,0.0,學院熱門度
日間部,0.0,學院熱門度
進修部,0.0,學院熱門度
4.0,0.09919571045576407,星期熱門度
1.0,0.087248322147651,星期熱門度
2.0,0.08277027027027027,星期熱門度
3.0,0.07587887225896275,星期熱門度
5.0,0.07313019390581718,星期熱門度
0.0,0.0,星期熱門度
6.0,0.0,星期熱門度
7.0,0.0,星期熱門度
