學年度,學期,序號,課程代碼,開課班別(代表),學院,科系,年級,班級,學制,部別,教學大綱Syllabus,教學大綱連結,教學大綱狀態,課程名稱,英文課程名稱,課程性質,課程性質2,全英語授課,學分,教師姓名,教師列表,上課大樓,上課節次+地點,星期,起始節次,結束節次,上課地點,上限人數,登記人數,選上人數,可跨班,備註,中籤率,飽和度,cluster
111,1,1819,263,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00263_0CCGE0182120.pdf,中文,領導與策略,Leadership and Strategy,跨學院通識(管),博雅一,FALSE,2,宋美妹,宋美妹,教學一館,(二) 07-08 33403,二,7,8,33403,50,93,66,限本班,1.大一~大二管理學院不能修 2.106學年(含)以前入學學生不能認列通識學分 3.寶山校區上課,0.709677419,1.32,0
111,1,1821,261,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00261_0CCGE0181520.pdf,中文,化妝品化學,Cosmetic Chemistry,跨學院通識(理),博雅二,FALSE,2,吳安台,吳安台,教學大樓,(一) 05-06 T006,一,5,6,T006,70,97,70,限本班,大一~大二理學院不能修,0.721649485,1,3
111,1,1822,260,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00260_0CCGE0174720.pdf,中文,化學與生活應用,Chemistry and Life Application,跨學院通識(理),博雅二,FALSE,2,楊水平,楊水平,教學大樓,(一) 03-04 T105,一,3,4,T105,70,65,65,限本班,大一~大二理學院不能修,1,0.928571429,3
111,1,1823,259,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00259_0CCGE0049220.pdf,中文,生命科學與人類生活,Life Sciences and Human Living,跨學院通識(理),博雅二,FALSE,2,耿全福賴吉永蕭乃文李奇英,"耿全福, 賴吉永, 蕭乃文, 李奇英",教學大樓,(一) 05-06 T302,一,5,6,T302,70,86,66,限本班,大一~大二理學院不能修,0.76744186,0.942857143,3
111,1,1824,258,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00258_0CCGE0174320.pdf,中文,邏輯與思考,Logic and Thinking,跨學院通識(理),博雅二,FALSE,2,連怡斌,連怡斌,教學一館,(三) 03-04 33302教室,三,3,4,33302教室,68,129,66,限本班,大一~大二理學院不能修，寶山校區上課,0.511627907,0.970588235,3
111,1,1825,257,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00257_0CCGE0180820.pdf,中文,專利概論與實務,Introduction to Patents and Life,跨學院通識(工),博雅二,FALSE,2,易昶霈,易昶霈,教學二館,(五) 03-04 34102,五,3,4,34102,60,69,68,限本班,大一~大二工學院不能修，寶山校區上課,0.985507246,1.133333333,3
111,1,1826,256,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00256_0CCGE0181820.pdf,中文,通訊科技與生活,Communication Technologies and Life,跨學院通識(工),博雅二,FALSE,2,陳棟洲,陳棟洲,教學大樓,(四) 08-09 T105,四,8,9,T105,70,118,64,限本班,大一~大二工學院不能修,0.542372881,0.914285714,3
111,1,1827,255,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00255_0CCGE0059620.pdf,中文,工程與生活,Engineering and Daily Life,跨學院通識(工),博雅二,FALSE,2,賴永齡魏忠必曾立維魏凱城陳偉立柯宗憲詹益禎賴聯福沈志雄林昭志,"賴永齡, 魏忠必, 曾立維, 魏凱城, 陳偉立, 柯宗憲, 詹益禎, 賴聯福, 沈志雄, 林昭志",教學一館,(一) 03-04 33404,一,3,4,33404,50,45,56,限本班,大一~大二工學院不能修，寶山校區上課,1.244444444,1.12,3
111,1,1828,253,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00253_0CCGE0059720.pdf,中文,管理概論,Management Introduction,跨學院通識(管),博雅一,FALSE,2,張世其,張世其,教學大樓,(三) 01-02 T105,三,1,2,T105,70,111,69,限本班,大一~大二管理學院，大三~大四公育、管理學院不能修,0.621621622,0.985714286,3
111,1,1829,252,核心通識,通識教育中心,核心通識課程,,,日間部,大學部,,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1111/00252_0CCGE0177620.pdf,中文,個人投資理財,Personal Finance,跨學院通識(管),博雅一,FALSE,2,林逸程吳明政,"林逸程, 吳明政",教學大樓,(一) 08-09 T006,一,8,9,T006,50,924,66,限本班,大一~大二管理學院不能修,0.071428571,1.32,0
