序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
1,N1008,產業碩士班,品質管理概論,,產業必修,,否,3,羅志成,白沙大樓,(四) 10-12 合班教室1,20,0,9,限本班,產業學院育才專班-矽品公司-大碩合班，教室T203，請見課程代碼N1005。,Introduction to Quality Management,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/N1008_0OTIN2100630.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=0000945
2,N1005,產業學士班,品質管理概論,,產業必修,,否,3,羅志成,教學大樓,(四) 10-12 T203,50,0,8,限本班,產業學院育才專班-矽品公司-大碩合班,Introduction to Quality Management,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/N1005_0OTIN0100530.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=0000945
3,N1003,產業碩士班,半導體基礎概論認證課程 1,,產業必修,,否,2,林祐仲,白沙大樓,(二) 10-11 合班教室1,20,0,12,限本班,產業學院育才專班-矽品公司-大碩合班，教室T203，請見課程代碼N1001。,Semiconductor Fundamentals and Introduction Certification Course 1,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/N1003_0OTIN2100220.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=0000831
4,N1001,產業學士班,半導體基礎概論認證課程 1,,產業必修,,否,2,林祐仲,教學大樓,(二) 10-11 T203,50,0,12,限本班,產業學院育才專班-矽品公司-大碩合班,Semiconductor Fundamentals and Introduction Certification Course 1,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/N1001_0OTIN0100120.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=0000831
5,ML003,語文課,中級商務華語(一),,語文選修,,否,3,黃柔溱,語文中心,(五) 05-07 LC202,50,0,12,可跨班系,Only for international students,Intermediate Business Chinese I,中文,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/ML003_0CCML0107730.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=9901052
6,ML002,語文課,初級文化華語(一),,語文選修,,否,3,劉培伃,語文中心,(五) 02-04 LC201,50,0,5,可跨班系,Only for international students「本課程網路選課人數未達開課人數，請洽開課單位。」,Elementary Chinese Language and Culture I,中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/ML002_0CCML0104730.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=9901185
7,ML001,語文課,基礎華語口語與表達(一),,語文選修,,否,3,周芷瑄,語文中心,(一) 02-04 LC201,50,0,10,可跨班系,Only for international students,Basic Chinese Spoken Language and Oral Expression I,中英,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1121/ML001_0CCML0103930.pdf,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=9901115
8,800E7,日外校碩士班,橫向技能,,自由選修,,否,3,校際教師,,,20,0,1,限本班,Fachhochschule Dortmund,Transversal Skills,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
9,800E6,日外校碩士班,專案規劃與控制,,自由選修,,否,3,校際教師,,,20,0,1,限本班,Fachhochschule Dortmund,Project Planning and Controlling,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
10,800E5,日外校碩士班,專案管理基礎知識,,自由選修,,否,3,校際教師,,,20,0,1,限本班,Fachhochschule Dortmund,Project Management - Fundamentals,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
