序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,教學大綱連結,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註
1,ML003,語文課,中級華語語法(二)Intermediate Chinese Grammar II,中文下載No file,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/ML003_0CCML0108430.pdf,語文選修,,否,3,黃柔溱,語文中心,(五) 05-07 LC202,50,0,6,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, Oversea Chinese students and exchange students.「本課程網路選課人數未達開課人數，請洽開課單位。」"
2,ML002,語文課,初級旅遊華語(二)Elementary Travel Chinese II,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/ML002_0CCML0105030.pdf,語文選修,,否,3,劉培伃,語文中心,(三) 02-04 LC201,50,0,5,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, Oversea Chinese students and exchange students.「本課程網路選課人數未達開課人數，請洽開課單位。」"
3,ML001,語文課,基礎華語口語與表達(二)Basic Chinese Spoken Language and Oral Expression II,中文下載Download,https://webap0.ncue.edu.tw/DEANV2/UploadDEAN/SUBJECT/1112/ML001_0CCML0104030.pdf,語文選修,,否,3,周芷瑄,語文中心,(一) 02-04 LC201,50,0,5,可跨班系,"僅限在學之國際學生或僑生選修 Only for international students, Oversea Chinese students and exchange students.「本課程網路選課人數未達開課人數，請洽開課單位。」"
4,800C4,日外校大學,韓國的媒體與流行文化Mass Media and Popular Culture in Korea,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
5,800C3,日外校大學,韓語發音及應用Pronunciation of Korean and its Application,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
6,800C2,日外校大學,電影英語English through Film,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
7,800C1,日外校大學,實用韓語 3Practical Korean Language 3,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,韓國-首爾市立大學
8,800B9,日外校大學,透過電影學英文English through Film,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
9,800B8,日外校大學,高級韓文 1Advanced Korean Language 1,無檔案No file,,自由選修,,否,3,校際教師,,,50,0,1,限本班,
10,800B7,日外校大學,線性代數BLinear Algebra B,無檔案No file,,自由選修,,否,3,校際教師,,,1,0,1,限本班,中國-武漢大學
